OrderID,OrderDate,CustomerID,ProductID,Quantity,Discount,CostPrice,SellingPrice,SalesAmount,Profit
ORD5000,2024-05-17,CUST1000,PROD2000,5,0.25,173.49,213.39270000000002,800.2226250000001,149.63512500000004
ORD5001,2024-06-21,CUST1019,PROD2012,7,0.04,117.79,147.2375,989.4360000000001,197.88720000000004
ORD5002,2022-11-09,CUST1038,PROD2027,7,0.07,941.89,1233.8759,8032.532109000001,1900.8282089999998
ORD5003,2022-04-04,CUST1097,PROD2010,2,0.02,406.42,524.2818000000001,1027.5923280000002,231.00912800000015
ORD5004,2024-01-13,CUST1042,PROD2026,7,0.24,191.81,249.353,1326.55796,306.12876000000006
ORD5005,2024-05-13,CUST1085,PROD2022,7,0.1,754.42,1003.3786,6321.28518,1568.4391800000005
ORD5006,2022-03-28,CUST1019,PROD2038,7,0.07,324.02,447.14759999999995,2910.9308759999994,801.5606759999997
ORD5007,2025-06-22,CUST1041,PROD2011,2,0.15,152.78,201.6696,342.83832,83.11232
ORD5008,2025-04-23,CUST1018,PROD2022,2,0.02,754.42,837.4062,1641.316152,162.6529520000001
ORD5009,2022-06-08,CUST1051,PROD2014,8,0.19,477.42,544.2588,3526.797024,433.1154239999996
ORD5010,2023-01-13,CUST1011,PROD2002,3,0.03,112.22,164.9634,480.043494,153.48329400000003
ORD5011,2022-06-06,CUST1001,PROD2010,4,0.11,406.42,560.8596,1996.660176,549.8049759999999
ORD5012,2024-10-03,CUST1096,PROD2034,7,0.05,672.32,941.248,6259.2992,1788.3712
ORD5013,2023-11-25,CUST1037,PROD2043,2,0.17,301.26,367.5372,610.1117519999999,110.02015199999998
ORD5014,2022-08-25,CUST1006,PROD2030,5,0.06,895.43,1038.6988,4881.884359999999,673.3633599999997
ORD5015,2022-06-17,CUST1060,PROD2035,5,0.04,422.36,595.5276,2858.53248,831.20448
ORD5016,2024-01-07,CUST1046,PROD2012,8,0.24,117.79,138.9922,845.072576,128.90937599999995
ORD5017,2025-10-09,CUST1094,PROD2019,6,0.3,126.81,144.5634,607.1662799999999,74.56428
ORD5018,2024-05-26,CUST1050,PROD2043,6,0.25,301.26,388.6254,1748.8143000000002,393.1443000000001
ORD5019,2023-05-17,CUST1001,PROD2005,2,0.19,922.45,1106.94,1793.2428000000002,298.8738
ORD5020,2025-11-22,CUST1094,PROD2011,1,0.15,152.78,172.64139999999998,146.74518999999998,16.882189999999976
ORD5021,2023-07-26,CUST1085,PROD2038,7,0.05,324.02,414.74559999999997,2758.0582399999994,603.3252399999999
ORD5022,2023-06-18,CUST1060,PROD2024,4,0.29,968.94,1085.2128000000002,3082.0043520000004,330.21475200000054
ORD5023,2023-05-07,CUST1074,PROD2041,2,0.11,100.51,131.6681,234.36921800000002,55.46141800000001
ORD5024,2024-08-05,CUST1030,PROD2024,7,0.24,968.94,1230.5538000000001,6546.546216000002,1391.7854160000004
ORD5025,2022-04-03,CUST1083,PROD2016,2,0.16,178.28,226.4156,380.37820800000003,80.86780800000001
ORD5026,2023-02-20,CUST1043,PROD2005,1,0.12,922.45,1023.9195000000001,901.04916,89.29316000000003
ORD5027,2024-05-28,CUST1056,PROD2013,8,0.22,874.42,1180.467,7366.114080000001,1909.7332800000008
ORD5028,2024-10-27,CUST1077,PROD2029,1,0.23,244.76,310.8452,239.35080399999998,50.885603999999994
ORD5029,2023-03-10,CUST1090,PROD2044,8,0.22,325.33,364.3696,2273.666304,243.60710400000005
